Category	Variants	Gene
Splice-altering	1	ARGLU1
Splice-altering	1	ARHGAP1
Splice-altering	1	ARHGAP10
Splice-altering	1	ARHGAP11A
Splice-altering	1	ARHGAP11A-SCG5
Splice-altering	1	ARHGAP21
Splice-altering	1	ARHGAP23
Splice-altering	1	ARHGAP24
Splice-altering	1	ARHGAP26
Splice-altering	1	ARHGAP4
Splice-altering	1	ARHGAP44
Splice-altering	1	ARHGAP8
Splice-altering	1	ARHGDIA
Splice-altering	1	ARHGDIB
Splice-altering	1	ARHGEF10
Splice-altering	1	ARHGEF10L
Splice-altering	1	ARHGEF19
Splice-altering	1	ARHGEF40
Splice-altering	1	ARHGEF7
Splice-altering	1	ARID5A
Splice-altering	1	ARL10
Splice-altering	1	ARL3
Splice-altering	1	ARL8B
Splice-altering	1	ARMC3
Splice-altering	1	ARMC6
Splice-altering	1	ARMC9
Splice-altering	1	ARMH3
Splice-altering	1	ARNT2
Splice-altering	1	ARPC3P3
Splice-altering	1	ARPP19
Splice-altering	1	ARRB1
Splice-altering	1	ARRDC1
Splice-altering	1	ARSD
Splice-altering	1	ARSG
Splice-altering	1	AS3MT
Splice-altering	1	ASB1
Splice-altering	1	ASDURF
Splice-altering	1	ASH2L
Splice-altering	1	ASIC3
Splice-altering	1	ASNSD1
Splice-altering	1	ASPHD1
Splice-altering	1	ASTE1
Splice-altering	1	ASTN2
Splice-altering	1	ATAD3A
Splice-altering	1	ATAD5
Splice-altering	1	ATF1
Splice-altering	1	ATF6
Splice-altering	1	ATF7
Splice-altering	1	ATF7-NPFF
Splice-altering	1	ATG12
Splice-altering	1	ATG4D
Splice-altering	1	ATG5
Splice-altering	1	ATOX1
Splice-altering	1	ATP10B
Splice-altering	1	ATP10D
Splice-altering	1	ATP13A1
Splice-altering	1	ATP13A3
Splice-altering	1	ATP1B2
Splice-altering	1	ATP23
Splice-altering	1	ATP2B1
Splice-altering	1	ATP2B4
Splice-altering	1	ATP5IF1
Splice-altering	1	ATP5MC3
Splice-altering	1	ATP5ME
Splice-altering	1	ATP5MF
Splice-altering	1	ATP5MF-PTCD1
Splice-altering	1	ATP5MK
Splice-altering	1	ATP5PD
Splice-altering	1	ATP6V0A1
Splice-altering	1	ATP6V0A2
Splice-altering	1	ATP6V0D2
Splice-altering	1	ATP6V1C1
Splice-altering	1	ATP6V1G2-DDX39B
Splice-altering	1	ATP8A2
Splice-altering	1	ATRIP
Splice-altering	1	ATXN1L
Splice-altering	1	ATXN2
Splice-altering	1	ATXN2L
Splice-altering	1	ATXN7L3
Splice-altering	1	AUH
Splice-altering	1	AUNIP
Splice-altering	1	AURKAIP1
Splice-altering	1	AURKC
Splice-altering	1	AVL9
Splice-altering	1	B3GAT3
Splice-altering	1	B4GALNT2
Splice-altering	1	B4GALT3
Splice-altering	1	B4GALT5
Splice-altering	1	B4GALT6
Splice-altering	1	BABAM1
Splice-altering	1	BACE1
Splice-altering	1	BAD
Splice-altering	1	BAG6
Splice-altering	1	BAIAP2L1
Splice-altering	1	BAIAP2L2
Splice-altering	1	BANF1
Splice-altering	1	BAZ2B
Splice-altering	1	BBS4
Splice-altering	1	BBS7
Splice-altering	1	BBS9
Splice-altering	1	BCAR3
Splice-altering	1	BCAT1
Splice-altering	1	BCL2L1
Splice-altering	1	BCL2L13
Splice-altering	1	BCL2L14
Splice-altering	1	BCL7C
